1050,X-Men: Apocalypse,
1051,Good Kids,
1052,Forushande,
1053,Arthur,
1054,The Martian,
1055,The Hollars,
1056,Free Fire,
1057,Push,
1058,Inkheart,
1059,Brimstone,
1060,Rescue Dawn,
1062,Saw VI,
1063,Miracle at St. Anna,
1064,The Adventures of Tintin,
1065,Colonia,
1066,Sleeping with Other People,
1067,Whatever Works,
1068,Super,
1069,The Green Inferno,
1070,The Lucky One,
1071,Blue Jasmine,
1072,The Conjuring 2,
1073,The Rite,
1074,Whiteout,
1075,Kick-Ass 2,
1076,Old Boy,
1077,For Colored Girls,
1078,Fireproof,
1079,Miracles from Heaven,
1080,Black Mass,
1081,Argo,
1082,"Pirate Radio (The Boat that Rocked, UK)",
1083,We Own the Night,
1084,Extremely Loud and Incredibly Close,
1085,I Love You Beth Cooper,
1086,Doctor Strange,
1087,Under the Same Moon,
1088,Cloud Atlas,
1089,The Bucket List,
1090,Bone Tomahawk,
1091,Old Dogs,
1092,Hot Fuzz,
1093,Popstar: Never Stop Never Stopping,
1094,Unfriended,
1095,Snow White and the Huntsman,
1096,Custody,
1097,Oz the Great and Powerful,
1098,A Good Year,
1099,The Bank Job,
1100,Safe Haven,
1101,Yes Man,
1102,Obsessed,
1103,Sunshine,
1104,Macbeth,
1105,Gravity,
1106,Beyond the Gates,
1107,White House Down,
1108,The Company Men,
1109,The First Time,
1110,Pan,
1112,Solace,
1114,Saw IV,
1115,Aliens in the Attic,
1116,The Equalizer,
1117,The Lego Movie,
1118,What We Do in the Shadows,
1119,You Will Meet a Tall Dark Stranger,
1120,Magic Mike XXL,
1122,"31,0",
1123,Ah-ga-ssi,
1124,Jack Reacher,
1125,The Twilight Saga: New Moon,
1128,Larry Crowne,
1129,The Sitter,
1130,The Hangover Part II,
1131,Dangal,
1132,Moonlight,
1133,The Prestige,
1135,"Crazy, Stupid, Love",
1136,American Pastoral,
1137,The Twilight Saga: Breaking Dawn - Part 2,
1138,Observe and Report,
1139,Regression,
1140,The Skin I Live In,
1141,Rush Hour 3,
1142,Joy,
1145,War on Everyone,
1146,Youth in Revolt,
1147,The Sea of Trees,
1148,Diary of a Wimpy Kid: Rodrick Rules,
1149,Pride and Prejudice and Zombies,
